,path,file_name,place,train_test,hammer_type,label
0,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-06.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
1,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-01.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
2,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-01.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
3,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-13.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
4,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-12.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
5,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-19.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
6,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-25.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
7,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-15.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
8,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-12.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
9,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-06.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
10,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-17.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
11,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-15.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
12,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-19.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
13,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-09.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
14,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-05.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
15,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-11.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
16,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-07.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
17,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-10.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
18,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-24.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
19,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-20.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
20,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-22.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
21,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-07.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
22,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-32.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
23,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-11.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
24,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-29.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
25,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-13.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
26,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-02.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
27,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-08.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
28,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-28.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
29,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-14.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
30,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-15.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
31,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-22.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
32,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-22.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
33,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-12.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
34,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-22.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
35,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-27.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
36,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-21.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
37,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-21.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
38,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-06.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
39,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-21.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
40,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-18.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
41,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-31.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
42,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-26.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
43,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-20.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
44,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-16.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
45,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-08.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
46,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-21.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
47,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-32.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
48,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-26.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
49,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_03-25.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
50,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-28.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
51,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-24.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
52,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-18.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
53,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-30.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
54,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-30.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
55,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-16.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
56,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-30.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
57,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-05.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
58,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-06.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
59,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_02-16.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
60,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_01-27.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
61,/home/tozeki/daon/nagoya2021/nagoya_20210727_cutout_5ms/3_模擬ASR,3_testdata_04-03.wav,daon,nagoya2021,nagoya_20210727_cutout_5ms,
